objectid,filename,title,format,description,abbreviations,patterninstructions,origin,subject,educationLevel,needlesize,yarnweight
garter_zigzag,garter_zigzag.jpg,Garter Zigzag,image/jpeg,xxxxx,,,,zigzag stitches,Intermediate,US - 8 ,Worsted
crisscross_zigzag,crisscross_zigzag.jpg,Crisscross Zigzag,image/jpeg,xxxxx,,,,zigzag stitches,Intermediate,US - 8 ,Worsted
diamondlattice_cable,diamondlattice_cable.jpg,Diamond Lattice,image/jpeg,xxxxx,,,,cable knitting,Intermediate,US - 8 ,Worsted
crossstitch_cable,crossstitch_cable.jpg,Cross Stitch Cable,image/jpeg,xxxxx,,,,cable knitting,Intermediate,US - 8 ,Worsted
wishbone_cable,wishbone_cable.jpg,Wishbone Cable,image/jpeg,xxxxx,"k: Knit
p: Purl
s2kp: Slip 2 stitches together knit-wise, k1, pass 2 slipped stitches over ","Cast on  multiple of 8 sts + 1.
Row 1: *k1, yo, k2, s2kp, k2, yo, rep from * to last stitch, k1.
Row 2: Purl all stitches.
Row 3: *k2, yo, k1, s2kp, k1, yo, k1*, repeat between *s to last stitch, k1.
Row 4: Purl all stitches.
Row 5: *k3, yo, s2kp, yo, k2, rep from * to last stitch, k1.
Row 6: Purl all stitches.
Repeat rows 1-6 until you have reached your desired length. Bind off and weave in all ends.",,cable knitting,Intermediate,US - 11,Bulky
fisherman_rib,fisherman_rib.jpg,Firsherman's Rib,image/jpeg,xxxxx,"k - Knit
p - Purl
k1b - Knit 1 below
sl1p wyif - Slip 1 stitch purl wise with yarn in front
sl1p wyib - Slip 1 stitch purl wise with yarn in back","Cast on any odd number of sts + 2. 
Row 1: sl1p wyif, *p1, k1*, p2
Row 2 (Right side): sl1p wyib, *k1b, p1*, k1b, k1
Row 3 (Wrong side): Sl1p wyif, *p1, k1b*, p2
Repeat rows 2-3 until you have reached your desired length. Bind off and weave in all ends",England,cable knitting,Intermediate,US - 8 ,Worsted
hurdlestitch_rib,hurdlestitch_rib.jpg,Hurdle Stitch,image/jpeg,xxxxx,"k - Knit
p - Purl","Cast on multiple of 2 sts
Row 1 (Right Side): Knit all stitches
Row 2 (Wrong Side): Knit all stitches
Row 3: *k1, p1, rep from * to end
Row 4: *k1, p1, rep from * to end
Repeat rows 1-4 until you have reached your desired length. Bind off and weave in all ends.",,ribbed knitting,Beginner,US - 8 ,Worsted
bamboostitch_rib,bamboostitch_rib.jpg,Bamboo Stitch,image/jpeg,"Bamboo stitch is a fairly simple knit and purl rib pattern that resembles stalks of bamboo. It can be used for a variety of projects, but it is important to note that it is not reversible!","k - Knit
p - Purl
yo - Yarn over
psso: Pass slipped stitch over ","Cast on multiple of 2 sts
Row 1 (Right side): *yo, k2, pass yo over k2, rep from * to end
Row 2 (Wrong side) Purl all stitches
Repeat rows 1-2 until you have reached your desired length. Bind off and weave in all ends.",,ribbed knitting,Beginner,US - 11,Bulky
ginko_lace,ginko_lace.jpg,Ginko Leaf,image/jpeg,"Ginko leaf is a pretty lace stitch that resembles ginko leaves. Though it can be tricky, it isn't a bad pattern to attempt for a knitter interested in starting with lace. ","k - Knit
p - Purl
yo - Yarn over
ssk - Slip, slip, knit 
k2tog - Knit 2 stitches together
p2tog - Purl 2 stitches together ","Cast on multiples of 18 sts + 1. 
Row 1 (Right side):  p1, *k17, p1, rep from * to end
Row 2 (Wrong side): k1, *p17, k1, rep from * to end
Row 3: p1, *k2tog, k6, yo, k1, yo, k6, ssk, p1, rep from * to end
Row 4: k1, 
Row 5: p1, 
Row 6: k1, 
Row 7: p1, *k2tog, k2
Row 8: k1, *ssp, 917, p2tog, k1, rep from * to end
Row 9: p1, *k2tog, k15, ssk, p1, rep from * to end
Row 10: k1, *p17, k1, rep from * to end
Row 11: p1, *k17, p1, rep from * to end
Row 12: k all sts.
Row 13: p1, *yo, k2tog, rep from * to end
Row 14: k all sts.
Repeat rows 1-14 until you have reached your desired length. 
Bind off and weave in all ends. ",,knitted lace,Advanced,US - 8 ,Worsted
arrowhead_lace,arrowhead_lace.jpg,Arrowhead Lace,image/jpeg,xxxxx,"k - Knit
p - Purl
yo - Yarn over
sl1 - Slip 1 stitch
k2tog - Knit 2 stitches together
psso - Pass slipped stitch over ","Cast on multiple of 10 sts + 1
Row 1 (Right side): k1, *(yo, sl1, k1, psso) twice, k1, (k2tog, yo) twice, k1, rep from * to end
Row 2 (Wrong side): Purl all stitches
Row 3: k2, *yo, sl1, k1, psso, yo, sl1, k2tog, psso, yo, k2tog, yo, k3, rep from * to last 9 sts, yo, sl1, k1, psso, yo, sl1, k2tog, psso, yo, k2tog, yo, k2.
Row 4: Purl all stitches
Repeat rows 1-4 until you have reached your desired length. Bind off and weave in all ends.",,knitted lace,Advanced,US - 8 ,Worsted
eyeletweave_lace,eyeletweave_lace.jpg,Eyelet Weave,image/jpeg,xxxxx,"k: Knit
p: Purl
sl1: Slip 1 stitch
k2tog: Knit 2 stitches together
psso: Pass slipped stitch over ","Cast on multiple of 6 sts + 1
Row 1: (Wrong side) k2, *p3, k3, rep from * to last 5 sts, p3, k2
Row 2 (Right side): p2, *k3, p3, rep from * to last 5 sts, k3, P2.
Row 3: k2, *p3, K3; rep from * to last 5 sts, p3, k2.
Row 4: k2, * yo, sl1, k2tog, psso, yo, K3; rep from * to last 5 sts, yo, sk2po, yo, K2.
Row 5: k2, * k3, p3, rep from * to last 5 sts, k3, p2.
Row 6: k2, * p3, k3, rep from * to last 5 sts, p3, k2.
Row 7: k2, * k3, p3, rep from * to last 5 sts, k3, p2.
Row 8: k2tog, * yo, k3, yo, sl1, k2tog, psso, rep from * to last 5 sts, yo, k3, yo, sl 1, k1, psso.
Repeat rows 1-8 until you have reached your desired length. Bind off and weave in all ends.",,knitted lace,Advanced,US - 8 ,Worsted
leaf_lace,leaf_lace.jpg,Leaves,image/jpeg,xxxxx,"k2tog : Knit 2 stitches together
ssk : Slip, slip, knit
yo : Yarn over
cdd: centered double decrease (sl2, k1, p2sso (slip 2 stitches together, k1, then pass slipped stitches over))","Cast on multiple of 14 sts + 1
Row 1 (Right side): k1, *yo, p2, k2tog, k5, ssk, p2, yo, k1, rep from * to end
Row 2, 14 (Wrong side): *p2, k2, p7, k2, p1, rep from * to last st, p1
Row 3: k1, *yo, k1, p2, k2tog, k3, ssk, p2, k1, yo, k1, rep from * to end
Row 4: *p3, k2, p5, k2, p2, rep from * to last st, p1
Row 5: k1, *yo, k2, p2, k2tog, k1, ssk, p2, k2, yo, k1, rep from * to end
Row 6: *p4, k2, p3, k2, p3, rep from * to last st, p1
Row 7: K1, *yo, k3, p2, cdd, p2, k3, yo, k1, rep from * to end
Row 8: *p5, k2, p1, k2, p4, rep from * to last st, p1
Row 9: k1, *k2, ssk, p2, yo, k1, yo, p2, k2tog, k3, rep from * to end
Row 10: *p4, k2, p3, k2, p3, rep from * to last st, p1
Row 11: k1, *k1, ssk, p2, k1, yo, k1, yo, k1, p2, k2tog, k2, rep from * to end
Row 12: *p3, k2, p5, k2, p2, rep from * to last st, p1
Row 13: k1, *ssk, p2, k2, yo, k1, yo, k2, p2, k2tog, k1, rep from * to end
Row 14: *p2, k2, p7, k2, p1, rep from * to last st, p1
Row 15: ssk, *p2, k3, yo, k1, yo, k3, p2, cdd, rep from * to last st, k2tog
Row 16: *p1, k2, p9, k2, rep from * to last st, p1 Repeat Row 1-16 until you have reached your desired length. 
Bind off and weave in all ends.",,knitted lace,Intermediate,US - 8 ,Worsted
waves_lace,waves_lace.jpg,Waves,image/jpeg,"The wave stitch is a very pretty pattern that while looks difficult to master, can actually be a simple lace stitch. It is perfect for scarves and shawls. ","k: Knit
p: Purl
kw2: Knit stitch, wrapping yarn round the needle twice
kw3: Knit stitch, wrapping yarn round the needle three times","""Cast on multiple of 8 sts + 2
Row 1: knit all stitches
Row 2: knit all stitches
Row 3: k2, *kw2, kw2, kw3, kw3, kw2, kw2, k1, k1, rep from * to end
Row 4 Knit all sts, dropping extra loops
Row 5: knit all stitches
Row 6: knit all sts
Row 7: kw3, kw3, *kw2, kw2, k1, k1, kw2, kw2, kw3, kw3; rep from * to end
Row 8: knit all sts, dropping extra loops
Repeat rows 1-8 until you have reached your desired length. Bind off and weave in all ends.""",,knitted lace,Advanced,US - 8 ,Worsted
diagonal_lace,diagonal_lace.jpg,Diagonal Lace,image/jpeg,Diagonal lace stitch is a pretty and somewhat easy lace stitch. It can be a beautiful pattern for scarves in fingering weight yarn. ,"k - Knit
p - Purl
yo - Yarn over
sl1 - Slip 1 stitch
p2tog tbl - Purl 2 stitches together through back loop","Cast on multiple of 8 sts + 4. 
Row 1 (Right side): k2, *yo, sl1, k1, psso, k1, k2tog, yo, k3, rep from * to last 2 sts, k2.
Row 2: p7, *p2tog tbl, yo, p6; rep from * to last 5 sts, p2tog tbl, yo, p3.
Row 3: k4, *yo, sl1, k1, psso, k1, k2tog, yo, k3; rep from * to end.
Row 4: p5, *p2tog tbl, yo, p6; rep from * to last 7 sts, p2tog tbl, yo, p5.
Row 5: k1, *k2tog, yo, k3, yo, sl 1, k1, psso, k1; rep from * to last 3 sts, k2tog, yo, k1.
Row 6: p3, *p2tog tbl, yo, p6; rep from * to last st, p1.
Row 7: k3, *k2tog, yo, k3, yo, sl 1, k1, psso, k1; rep from * to last st, k1.
Row 8: p1, *p2tog tbl, yo, p6; rep from * to last 3 sts ,p2tog tbl, yo, p1.
Repeat rows 1-8 until you have reached your desired length. Bind off and weave in all ends",l,knitted lace,Advanced,US - 8 ,Worsted
turkish_lace,turkish_lace.jpg,Turkish Stitch,image/jpeg,"Often called one of the easiest lace patterns, Turkish stitch is a beautiful simple pattern that creates stunning lace in one row! This stitch would be perfect for scarves, cowls, and shawls. ","k - Knit
p - Purl
sl1k - Slip 1 stitch knit wise
psso - Pass slipped stitch over last worked stitch","Cast on any even number of sts. 
Row 1 (Right side): k1, *yo, sl1k, k1, psso, rep from * to last st, k1. 
Repeat row 1 until you have reached your desired length. 
Bind off and weave in all ends. ",Turkey,knitted lace,Intermediate,US - 8 ,Worsted
